Database name,Table Name,Field Name,Type,Description,Example,turn_n
climbing,mountain,Country,TEXT,Country where the mountain is located.,Tanzania,0
climbing,climber,Name,TEXT,Name of the climber.,Klaus Enders,0
climbing,mountain,Mountain_ID,INT,Unique identifier for a mountain; primary key.,1,0
climbing,climber,Mountain_ID,INT,Foreign key referencing the mountain climbed; links to the mountain table.,1,0
climbing,mountain,Name,TEXT,Name of the mountain.,Kibo (Uhuru Pk),0
climbing,climber,Time,TEXT,Time taken by the climber to complete the climb.,1:13.05.6,0
climbing,mountain,Height,REAL,Height of the mountain in meters.,5895.0,0
climbing,climber,Country,TEXT,Country of origin for the climber.,West Germany,0
climbing,mountain,Prominence,REAL,Prominence of the mountain in meters.,5885.0,0
climbing,mountain,Range,TEXT,Mountain range the mountain belongs to.,Kilimanjaro,0
climbing,climber,Points,REAL,Points awarded to the climber for the climb.,15.0,0
climbing,climber,Climber_ID,INT,Unique identifier for a climber; primary key.,1,0
