Database name,Table Name,Field Name,Type,Description,Example,turn_n
student_assessment,Students,student_id,INTEGER,"Primary key, foreign key referencing People table to identify the person acting as a student.",111,0
student_assessment,People_Addresses,date_to,DATETIME,End date of the validity period for this address association.,2018-03-21 09:46:30,0
student_assessment,Student_Course_Attendance,student_id,INTEGER,"Primary key component, foreign key referencing Student_Course_Registrations to identify the student.",111,0
student_assessment,People,middle_name,VARCHAR(255),Middle name of the person.,Elissa,0
student_assessment,Student_Course_Registrations,student_id,INTEGER,"Primary key component, foreign key referencing Students table to identify the student.",111,0
student_assessment,Candidates,candidate_details,VARCHAR(255),Text field containing additional information or name associated with the candidate.,Jane,0
student_assessment,People,person_id,INTEGER,"Primary key, unique identifier for an individual person.",111,0
student_assessment,Students,student_details,VARCHAR(255),Text field containing additional information or name associated with the student.,Marry,0
student_assessment,People_Addresses,person_id,INTEGER,Foreign key referencing People table to identify the person.,111,0
student_assessment,Addresses,city,VARCHAR(50),Name of the city where the address is located.,Linnealand,0
student_assessment,Courses,other_details,VARCHAR(255),Additional miscellaneous details regarding the course.,,0
student_assessment,Addresses,line_2,VARCHAR(80),"Second line of the physical street address, such as suite or apartment number.",Suite 096,0
student_assessment,People_Addresses,address_id,INTEGER,Foreign key referencing Addresses table to identify the address.,9,0
student_assessment,Student_Course_Attendance,course_id,INTEGER,"Primary key component, foreign key referencing Student_Course_Registrations to identify the course.",301,0
student_assessment,Courses,course_id,VARCHAR(100),"Primary key, unique identifier for a course.",301,0
student_assessment,People,cell_mobile_number,VARCHAR(40),Contact phone number for the person.,01955267735,0
student_assessment,Student_Course_Registrations,course_id,INTEGER,"Primary key component, foreign key referencing Courses table to identify the course.",301,0
student_assessment,People,first_name,VARCHAR(255),First name of the person.,Shannon,0
student_assessment,Courses,course_description,VARCHAR(255),Description of the course content.,statistics,0
student_assessment,Candidate_Assessments,candidate_id,INTEGER,"Primary key component, foreign key referencing Candidates table to identify the candidate being assessed.",111,0
student_assessment,Addresses,country,VARCHAR(50),Country name where the address is located.,USA,0
student_assessment,People,email_address,VARCHAR(40),Email contact address for the person.,javier.trantow@example.net,0
student_assessment,Addresses,state_province_county,VARCHAR(50),"State, province, or county associated with the address.",Montana,0
student_assessment,People,login_name,VARCHAR(40),Username used for system authentication.,pgub,0
student_assessment,Student_Course_Attendance,date_of_attendance,DATETIME,Timestamp recording when the student attended the specific course session.,2008-11-04 10:35:13,0
student_assessment,Addresses,line_1,VARCHAR(80),First line of the physical street address.,"0900 Roderick Oval
New Albina, WA 19200-7914",0
student_assessment,Courses,course_name,VARCHAR(120),Name of the course.,statistics,0
student_assessment,Candidate_Assessments,asessment_outcome_code,CHAR(15),"Code indicating the result of the assessment, such as Pass or Fail.",Pass,0
student_assessment,People,last_name,VARCHAR(255),Last name or surname of the person.,Senger,0
student_assessment,Candidate_Assessments,qualification,CHAR(15),"Primary key component, code representing the qualification or subject of the assessment.",A,0
student_assessment,Student_Course_Registrations,registration_date,DATETIME,Timestamp indicating when the student registered for the course.,2008-11-04 10:35:13,0
student_assessment,Addresses,address_id,INTEGER,"Primary key, unique identifier for an address record.",5,0
student_assessment,People_Addresses,person_address_id,INTEGER,"Primary key, unique identifier for a specific person-address relationship record.",122,0
student_assessment,People_Addresses,date_from,DATETIME,Start date of the validity period for this address association.,2012-09-26 13:21:00,0
student_assessment,Candidates,candidate_id,INTEGER,"Primary key, foreign key referencing People table to identify the person acting as a candidate.",111,0
student_assessment,Candidate_Assessments,assessment_date,DATETIME,Timestamp indicating when the assessment took place.,2010-04-07 11:44:34,0
student_assessment,Addresses,zip_postcode,CHAR(20),Postal or zip code associated with the address.,862,0
student_assessment,People,password,VARCHAR(40),Encrypted password string for system authentication.,5e4ff49a61b3544da3ad7dc7e2cf28847564c64c,0
