Database name,Table Name,Field Name,Type,column_descriptions,sample_rows,turn_n
baseball_1,postseason,team_id_winner,TEXT,Identifier for the winning team.,"['PRO', 'CHC', 'STL', 'DTN', 'NYG']",0
baseball_1,team,team_id_lahman45,TEXT,Lahman 45 team identifier.,"['BS1', 'CH1', 'CL1', 'FW1', 'NY2']",0
baseball_1,appearances,player_id,TEXT,Unique identifier for the player.,[],0
baseball_1,team_franchise,na_assoc,TEXT,National Association affiliation indicator.,[],0
baseball_1,home_game,team_id,TEXT,Identifier for the team.,"['BS1', 'BS1', 'CH1', 'CH1', 'CL1']",0
baseball_1,fielding_postseason,player_id,TEXT,Unique identifier for the player.,[],0
baseball_1,college,name_full,TEXT,Full name of the college or university.,"['Abilene Christian University', 'Adelphi University', 'Adrian College', 'University of Akron', 'University of Alabama']",0
baseball_1,team_half,team_id,TEXT,Unique identifier for the team.,[],0
baseball_1,player_college,college_id,TEXT,Unique identifier for the college attended.,"['pennst', 'rice', 'rice', 'gamiddl', 'gamiddl']",0
baseball_1,team,year,INTEGER,The season year.,"[1871, 1871, 1871, 1871, 1871]",0
baseball_1,player,birth_state,TEXT,State of birth.,"['CO', 'AL', 'AL', 'CA', 'FL']",0
baseball_1,team,bb,INTEGER,Total base on balls for the team.,"[60, 60, 26, 33, 33]",0
baseball_1,appearances,gs,NUMERIC,Number of games started by the player.,[],0
baseball_1,college,city,TEXT,City where the college is located.,"['Abilene', 'Garden City', 'Adrian', 'Akron', 'Tuscaloosa']",0
baseball_1,college,state,TEXT,State where the college is located.,"['TX', 'NY', 'MI', 'OH', 'AL']",0
baseball_1,team,sv,INTEGER,Total saves recorded by the team.,"[3, 1, 0, 0, 0]",0
baseball_1,team,team_id,TEXT,Unique identifier for the team.,"['BS1', 'CH1', 'CL1', 'FW1', 'NY2']",0
baseball_1,team_franchise,franchise_id,TEXT,Unique identifier for the franchise.,[],0
baseball_1,fielding_postseason,team_id,TEXT,Identifier for the team.,[],0
baseball_1,appearances,team_id,TEXT,Identifier for the team the player appeared with.,[],0
baseball_1,all_star,player_id,TEXT,"Unique identifier for the player, referencing the player table.","['gomezle01', 'ferreri01', 'gehrilo01', 'gehrich01', 'dykesji01']",0
baseball_1,appearances,g_defense,NUMERIC,Number of games where the player appeared in a defensive position.,[],0
baseball_1,team,div_id,TEXT,Identifier for the division.,"['', '', '', '', '']",1
baseball_1,team,team_id_br,TEXT,Baseball Reference team identifier.,"['BOS', 'CHI', 'CLE', 'KEK', 'NYU']",1
baseball_1,team,cs,NUMERIC,Total caught stealing for the team.,"['', '', '', '', '']",1
baseball_1,fielding_outfield,player_id,TEXT,Unique identifier for the player.,[],1
baseball_1,player,birth_city,TEXT,City of birth.,"['Denver', 'Mobile', 'Mobile', 'Orange', 'Palm Beach']",1
baseball_1,all_star,team_id,TEXT,Identifier for the team the player represented in the All-Star game.,"['NYA', 'BOS', 'NYA', 'DET', 'CHA']",1
baseball_1,batting_postseason,player_id,TEXT,Unique identifier for the player.,[],1
baseball_1,appearances,g_c,INTEGER,Number of games played as a catcher.,[],1
baseball_1,manager,player_id,TEXT,Unique identifier for the manager (often a player ID).,[],1
baseball_1,fielding,team_id,TEXT,Identifier for the team.,[],2
baseball_1,team,franchise_id,TEXT,Identifier for the franchise.,"['BNA', 'CNA', 'CFC', 'KEK', 'NNA']",2
baseball_1,college,country,TEXT,Country where the college is located.,"['USA', 'USA', 'USA', 'USA', 'USA']",2
baseball_1,player,player_id,TEXT,Unique identifier for the player.,"['aardsda01', 'aaronha01', 'aaronto01', 'aasedo01', 'abadan01']",3
baseball_1,player,birth_country,TEXT,Country of birth.,"['USA', 'USA', 'USA', 'USA', 'USA']",0
baseball_1,player_college,player_id,TEXT,Unique identifier for the player.,"['aardsda01', 'aardsda01', 'aardsda01', 'abadan01', 'abadan01']",0
baseball_1,player_college,year,INTEGER,Year associated with the college attendance or graduation.,"[2001, 2002, 2003, 1992, 1993]",0
baseball_1,college,college_id,TEXT,Unique identifier for the college.,"['abilchrist', 'adelphi', 'adrianmi', 'akron', 'alabama']",0
baseball_1,player_award_vote,player_id,TEXT,Unique identifier for the player candidate.,[],3
baseball_1,player,name_last,TEXT,Last name of the player.,"['Aardsma', 'Aaron', 'Aaron', 'Aase', 'Abad']",4
baseball_1,player,name_given,TEXT,Given name or full first/middle name.,"['David Allan', 'Henry Louis', 'Tommie Lee', 'Donald William', 'Fausto Andres']",4
baseball_1,appearances,g_ss,INTEGER,Number of games played as a shortstop.,[],5
